country,year,measure,age_group,percentage,,,,,
Burkina Faso,2021,menarche,10 Years,0.7,,,,,
Burkina Faso,2021,menarche,11 Years,0.7,,,,,
Burkina Faso,2021,menarche,12 Years,5.3,,,,,
Burkina Faso,2021,menarche,13 Years,10.8,,,,,
Burkina Faso,2021,menarche,14 Years,24,,,,,
Burkina Faso,2021,menarche,15 Years,31.9,,,,,
Burkina Faso,2021,menarche,Never,1.5,,,,,
Burkina Faso,2021,menarche,Don't Know,1.8,,,,,
Burkina Faso,2021,menarche,Mean Age,14.7,,,,,
Burkina Faso,2021,menopause,30-34 Years,1.6,,,,,
Burkina Faso,2021,menopause,35-39 Years,3,,,,,
Burkina Faso,2021,menopause,40-41 Years,7.5,,,,,
Burkina Faso,2021,menopause,42-43 Years,12.3,,,,,
Burkina Faso,2021,menopause,44-45 Years,23.8,,,,,
Burkina Faso,2021,menopause,46-47 Years,36.9,,,,,
Burkina Faso,2021,menopause,48-49 Years,49.5,,,,,
Cambodia,2021,menarche,10 Years,0.1,,,,,
Cambodia,2021,menarche,11 Years,0.5,,,,,
Cambodia,2021,menarche,12 Years,4.3,,,,,
Cambodia,2021,menarche,13 Years,11.7,,,,,
Cambodia,2021,menarche,14 Years,22,,,,,
Cambodia,2021,menarche,15 Years,21.9,,,,,
Cambodia,2021,menarche,Never,1.1,,,,,
Cambodia,2021,menarche,Don't Know,0.8,,,,,
Cambodia,2021,menarche,Mean Age,15.1,,,,,
Cambodia,2021,menopause,30-34 Years,3.3,,,,,
Cambodia,2021,menopause,35-39 Years,6.1,,,,,
Cambodia,2021,menopause,40-41 Years,6.2,,,,,
Cambodia,2021,menopause,42-43 Years,9.2,,,,,
Cambodia,2021,menopause,44-45 Years,13.3,,,,,
Cambodia,2021,menopause,46-47 Years,20.6,,,,,
Cambodia,2021,menopause,48-49 Years,34.6,,world,somethib,something,something 
Cote d'Ivoire,2021,menarche,10 Years,1.3,,,,,
Cote d'Ivoire,2021,menarche,11 Years,3.1,,,,,
Cote d'Ivoire,2021,menarche,12 Years,13.1,,,,,
Cote d'Ivoire,2021,menarche,13 Years,22.3,,,,,
Cote d'Ivoire,2021,menarche,14 Years,26.4,,,,,
Cote d'Ivoire,2021,menarche,15 Years,19.3,,,,,
Cote d'Ivoire,2021,menarche,Never,0.7,,,,,
Cote d'Ivoire,2021,menarche,Don't Know,1.1,,,,,
Cote d'Ivoire,2021,menarche,Mean Age,13.9,,,,,
Cote d'Ivoire,2021,menopause,30-34 Years,1.8,,,,,
Cote d'Ivoire,2021,menopause,35-39 Years,3.4,,,,,
Cote d'Ivoire,2021,menopause,40-41 Years,10.2,,,,,
Cote d'Ivoire,2021,menopause,42-43 Years,12.3,,,,,
Cote d'Ivoire,2021,menopause,44-45 Years,18.9,,,,,
Cote d'Ivoire,2021,menopause,46-47 Years,30,,,,,
Cote d'Ivoire,2021,menopause,48-49 Years,47.5,,,,,
Ghana,2022,menarche,10 Years,1.1,,,,,
Ghana,2022,menarche,11 Years,2.6,,,,,
Ghana,2022,menarche,12 Years,8.7,,,,,
Ghana,2022,menarche,13 Years,15.7,,,,,
Ghana,2022,menarche,14 Years,19.6,,,,,
Ghana,2022,menarche,15 Years,24.3,,,,,
Ghana,2022,menarche,Never,0.5,,,,,
Ghana,2022,menarche,Don't Know,0.9,,,,,
Ghana,2022,menarche,Mean Age,14.6,,,,,
Ghana,2022,menopause,30-34 Years,1.8,,,,,
Ghana,2022,menopause,35-39 Years,2.5,,,,,
Ghana,2022,menopause,40-41 Years,4.2,,,,,
Ghana,2022,menopause,42-43 Years,9,,,,,
Ghana,2022,menopause,44-45 Years,16.5,,,,,
Ghana,2022,menopause,46-47 Years,23.5,,,,,
Ghana,2022,menopause,48-49 Years,44.2,,,,,
Kenya,2022,menarche,10 Years,0.9,,,,,
Kenya,2022,menarche,11 Years,1.2,,,,,
Kenya,2022,menarche,12 Years,9.1,,,,,
Kenya,2022,menarche,13 Years,17.5,,,,,
Kenya,2022,menarche,14 Years,23.5,,,,,
Kenya,2022,menarche,15 Years,22.8,,,,,
Kenya,2022,menarche,Never,0.6,,,,,
Kenya,2022,menarche,Don't Know,1.3,,,,,
Kenya,2022,menarche,Mean Age,14.5,,,,,
Kenya,2022,menopause,30-34 Years,4.6,,,,,
Kenya,2022,menopause,35-39 Years,5.6,,,,,
Kenya,2022,menopause,40-41 Years,7.3,,,,,
Kenya,2022,menopause,42-43 Years,9.5,,,,,
Kenya,2022,menopause,44-45 Years,15.9,,,,,
Kenya,2022,menopause,46-47 Years,29.9,,,,,
Kenya,2022,menopause,48-49 Years,37.9,,,,,
